ticket,item,id_producto,producto,fecha_venta,cantidad,id_tamaño,tamaño,precio_unitario,costo_unitario,tipo_calzado,id_local,local,tipo_local,id_ciudad,ciudad,total_venta,total_costo,año,mes
10633,1,C001,COMFORT VERONA,07/01/2020,1,22M,22 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,01-ene
11031,1,C001,COMFORT VERONA,11/01/2020,1,22M,22 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2020,01-ene
11129,1,C001,COMFORT VERONA,12/01/2020,1,22M,22 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,01-ene
11794,1,C001,COMFORT VERONA,18/01/2020,1,24N,24 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,01-ene
15046,1,C001,COMFORT VERONA,20/02/2020,1,18M,18 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,02-feb
15655,2,C001,COMFORT VERONA,25/02/2020,1,23N,23 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,02-feb
15859,1,C001,COMFORT VERONA,26/02/2020,1,24M,24 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,02-feb
17013,1,C001,COMFORT VERONA,07/03/2020,1,18N,18 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,03-mar
18222,1,C001,COMFORT VERONA,15/03/2020,1,30M,30 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,03-mar
18248,1,C001,COMFORT VERONA,16/03/2020,1,18N,18 NORMAL,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2020,03-mar
20403,1,C001,COMFORT VERONA,05/04/2020,1,21N,21 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,04-abr
21862,1,C001,COMFORT VERONA,20/04/2020,1,22N,22 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,04-abr
22970,1,C001,COMFORT VERONA,03/05/2020,1,29N,29 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,05-may
23521,1,C001,COMFORT VERONA,08/05/2020,1,21N,21 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,05-may
24124,1,C001,COMFORT VERONA,13/05/2020,1,28N,28 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,05-may
24140,1,C001,COMFORT VERONA,13/05/2020,1,29M,29 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,05-may
24705,1,C001,COMFORT VERONA,19/05/2020,1,21N,21 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,05-may
25154,1,C001,COMFORT VERONA,25/05/2020,1,18N,18 NORMAL,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2020,05-may
26338,1,C001,COMFORT VERONA,03/06/2020,1,27M,27 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,06-jun
26519,1,C001,COMFORT VERONA,05/06/2020,1,21N,21 NORMAL,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2020,06-jun
26579,1,C001,COMFORT VERONA,05/06/2020,1,26N,26 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,06-jun
27546,2,C001,COMFORT VERONA,15/06/2020,1,25N,25 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,06-jun
27922,1,C001,COMFORT VERONA,17/06/2020,1,28N,28 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,06-jun
28427,1,C001,COMFORT VERONA,22/06/2020,1,27M,27 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,06-jun
28434,1,C001,COMFORT VERONA,22/06/2020,1,27N,27 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,06-jun
30251,1,C001,COMFORT VERONA,12/07/2020,1,26N,26 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,07-jul
30714,1,C001,COMFORT VERONA,16/07/2020,1,26N,26 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,07-jul
36208,1,C001,COMFORT VERONA,02/09/2020,1,29N,29 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,09-sep
36256,1,C001,COMFORT VERONA,02/09/2020,1,18M,18 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,09-sep
36596,1,C001,COMFORT VERONA,06/09/2020,1,20N,20 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,09-sep
39171,1,C001,COMFORT VERONA,26/09/2020,1,20N,20 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,09-sep
40059,1,C001,COMFORT VERONA,06/10/2020,1,26M,26 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,10-oct
40795,1,C001,COMFORT VERONA,12/10/2020,1,21N,21 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,10-oct
43498,1,C001,COMFORT VERONA,09/11/2020,1,23N,23 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2020,11-nov
43933,1,C001,COMFORT VERONA,13/11/2020,1,22N,22 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,11-nov
44791,1,C001,COMFORT VERONA,19/11/2020,1,29M,29 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,11-nov
47237,1,C001,COMFORT VERONA,10/12/2020,1,30M,30 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2020,12-dic
50615,1,C001,COMFORT VERONA,06/01/2021,1,30M,30 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,01-ene
50746,2,C001,COMFORT VERONA,07/01/2021,1,21N,21 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,01-ene
52017,1,C001,COMFORT VERONA,19/01/2021,1,22M,22 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,01-ene
52330,1,C001,COMFORT VERONA,21/01/2021,1,26N,26 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,01-ene
52397,1,C001,COMFORT VERONA,22/01/2021,1,23N,23 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,01-ene
52904,1,C001,COMFORT VERONA,26/01/2021,1,29M,29 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,01-ene
52990,1,C001,COMFORT VERONA,27/01/2021,1,28M,28 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,01-ene
54607,1,C001,COMFORT VERONA,08/02/2021,1,22M,22 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,02-feb
55765,1,C001,COMFORT VERONA,18/02/2021,1,19M,19 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,02-feb
55975,1,C001,COMFORT VERONA,19/02/2021,1,29N,29 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,02-feb
57973,1,C001,COMFORT VERONA,07/03/2021,1,21M,21 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,03-mar
58329,1,C001,COMFORT VERONA,09/03/2021,1,26N,26 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,03-mar
59164,1,C001,COMFORT VERONA,17/03/2021,1,24M,24 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,03-mar
60331,1,C001,COMFORT VERONA,28/03/2021,1,29M,29 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,03-mar
60858,1,C001,COMFORT VERONA,01/04/2021,1,30M,30 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,04-abr
61381,1,C001,COMFORT VERONA,06/04/2021,1,29M,29 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,04-abr
61645,1,C001,COMFORT VERONA,08/04/2021,1,23M,23 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,04-abr
62005,1,C001,COMFORT VERONA,12/04/2021,1,30N,30 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,04-abr
62713,1,C001,COMFORT VERONA,17/04/2021,1,19M,19 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,04-abr
63488,1,C001,COMFORT VERONA,22/04/2021,1,29N,29 NORMAL,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,04-abr
64337,1,C001,COMFORT VERONA,30/04/2021,1,25M,25 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,04-abr
64769,1,C001,COMFORT VERONA,04/05/2021,1,30M,30 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,05-may
